experiment,checkpoint_type,split,margin,embedding_dim,P,K,lr_scheduler,weight_decay,auc,eer,same_mean,same_std,diff_mean,diff_std
baseline,best,test,,,,,,,0.969276425,0.07840000000000001,0.6973150968551636,0.18286699056625366,0.09662104398012161,0.24125392735004425
baseline,best,test_noisy_snr10,,,,,,,0.746807045,0.32010000000000005,0.3280928134918213,0.2557169795036316,0.09449774026870728,0.23753012716770172
baseline,best,test_noisy_snr15,,,,,,,0.8149894900000001,0.2628,0.40460294485092163,0.24365796148777008,0.09836525470018387,0.23439352214336395
baseline,best,val,,,,,,,0.9909730100000002,0.04420000000000001,0.7600515484809875,0.1440875232219696,0.03405018150806427,0.24626001715660095
baseline,best,val_noisy_snr15,,,,,,,0.8899138600000001,0.19010000000000002,0.49809199571609497,0.2371617555618286,0.07180125266313553,0.23953747749328613
cnn1d_baseline_1,best,test,,192,,,,,0.9590475650000001,0.0947,0.6956231594085693,0.1970406323671341,0.11421668529510498,0.2397792935371399
cnn1d_baseline_1,best,val,,192,,,,,0.992627575,0.042300000000000004,0.7592630982398987,0.1420932114124298,0.0459713377058506,0.22817093133926392
cnn1d_clean+noise_snr20_p025,best,test,,192,,,,,0.96580488,0.08199999999999996,0.7000114917755127,0.19345271587371826,0.07418642938137054,0.25877392292022705
cnn1d_clean+noise_snr20_p025,best,val,,192,,,,,0.9929362850000001,0.04190000000000002,0.7556797862052917,0.13955627381801605,0.010321970097720623,0.2499731034040451
cnn1d_clean+noise_snr20_p035,best,test,,192,,,,,0.9590374899999999,0.08460000000000001,0.7035166621208191,0.20130203664302826,0.10268595069646835,0.24923115968704224
cnn1d_clean+noise_snr20_p035,best,val,,192,,,,,0.9944467050000001,0.03490000000000002,0.7578909993171692,0.13458102941513062,-0.008440639823675156,0.245305597782135
cnn1d_emb128_m022_P12K5_lr00005,best,test,0.22,128,12,5,,,0.9674722899999999,0.0816,0.7119938135147095,0.1901523768901825,0.09549512714147568,0.24711397290229797
cnn1d_emb128_m022_P12K5_lr00005,best,val,0.22,128,12,5,,,0.992298415,0.04300000000000002,0.7657622694969177,0.14031441509723663,0.019314387813210487,0.2548656165599823
cnn1d_emb128_m025_P12K5_lr00005,best,test,0.25,128,12,5,,,0.9653602450000001,0.07820000000000002,0.6965436339378357,0.20070931315422058,0.061879564076662064,0.25599202513694763
cnn1d_emb128_m025_P12K5_lr00005,best,val,0.25,128,12,5,,,0.9933692700000001,0.04010000000000001,0.7644321918487549,0.13351799547672272,0.007616173475980759,0.2520456612110138
cnn1d_emb192_m018_P12K5_lr00005,best,test,0.18,192,12,5,,,0.96552237,0.07950000000000002,0.7075510621070862,0.1920735090970993,0.08377755433320999,0.25942161679267883
cnn1d_emb192_m018_P12K5_lr00005,best,val,0.18,192,12,5,,,0.992273385,0.04400000000000002,0.7650227546691895,0.13593028485774994,0.01659436710178852,0.2608394920825958
cnn1d_emb192_m022_P10K6_lr00005,best,test,0.22,192,10,6,,,0.96156345,0.0867,0.7339206337928772,0.1839214265346527,0.15040898323059082,0.2671753168106079
cnn1d_emb192_m022_P10K6_lr00005,best,val,0.22,192,10,6,,,0.9934020000000001,0.04000000000000002,0.7831594944000244,0.12744490802288055,0.044664736837148666,0.2590571939945221
cnn1d_emb192_m022_P12K5_clean+musan_snr20_p050,best,test,0.22,192,12,5,,,0.9651156249999999,0.0768,0.695671021938324,0.1979551911354065,0.06759611517190933,0.2537965774536133
